mun_code,auprc,auroc,f1,n_obs,prevalence
05031,1.0,1.0,0.2,11,0.09090909090909091
05059,1.0,1.0,0.8888888888888888,11,0.45454545454545453
05091,1.0,1.0,0.0,11,0.2727272727272727
05101,1.0,1.0,0.0,11,0.2727272727272727
05129,1.0,1.0,0.3076923076923077,11,0.18181818181818182
05134,1.0,1.0,0.3076923076923077,11,0.18181818181818182
05206,1.0,1.0,0.4,11,0.36363636363636365
05240,1.0,1.0,0.4444444444444444,11,0.18181818181818182
05264,1.0,1.0,0.3076923076923077,11,0.18181818181818182
05380,1.0,1.0,0.3076923076923077,11,0.18181818181818182
05495,1.0,1.0,0.2222222222222222,11,0.09090909090909091
05501,1.0,1.0,0.0,11,0.09090909090909091
05642,1.0,1.0,0.6666666666666666,11,0.18181818181818182
05659,1.0,1.0,0.16666666666666666,11,0.09090909090909091
05664,1.0,1.0,0.0,11,0.2727272727272727
05789,1.0,1.0,0.2222222222222222,11,0.09090909090909091
08141,1.0,1.0,0.3333333333333333,11,0.09090909090909091
08421,1.0,1.0,0.0,11,0.18181818181818182
13074,1.0,1.0,0.9090909090909091,11,0.5454545454545454
13458,1.0,1.0,0.6666666666666666,11,0.18181818181818182
